soc,ocv_discharge,ocv_charge,ocv_mean,hysteresis_V
0.8,4.016767663501583,4.0114235690877384,4.014095616294661,-0.005344094413844758
0.81,4.027901853107474,4.023358387435559,4.025630120271517,-0.0045434656719152144
0.8200000000000001,4.038348522414983,4.0347556527145345,4.036552087564759,-0.0035928697004488086
0.8300000000000001,4.04717421772639,4.045468432309462,4.046321325017926,-0.0017057854169282294
0.84,4.054683906428504,4.055455545045319,4.055069725736912,0.0007716386168157285
0.85,4.059897258431319,4.0641488660430785,4.0620230622371984,0.004251607611759134
0.86,4.062993607222416,4.0711822713858234,4.06708793930412,0.008188664163407466
0.87,4.065159836064285,4.075860123126749,4.070509979595517,0.010700287062464398
0.88,4.066824247177848,4.078412840806802,4.072618543992325,0.011588593628953703
0.89,4.068480957359222,4.080112553176112,4.074296755267667,0.01163159581688955
0.9,4.0704812517008575,4.0818264117009955,4.0761538317009265,0.011345160000137966
0.91,4.072643795972216,4.083365499833906,4.078004647903061,0.010721703861690024
0.92,4.075479361758415,4.085234754362458,4.080357058060436,0.00975539260404279
0.93,4.0787085069256195,4.087280386119482,4.082994446522551,0.008571879193862486
0.9400000000000001,4.083209228694661,4.089663051094738,4.086436139894699,0.006453822400077414
0.9500000000000001,4.0890110244799125,4.0927014772289425,4.0908562508544275,0.0036904527490300154
0.96,4.096898506974455,4.096294082537545,4.096596294756,-0.0006044244369096674
0.97,4.108015544717437,4.101062353731484,4.104538949224461,-0.0069531909859534835
0.98,4.12339820935287,4.107257010364677,4.115327609858774,-0.016141198988193217
0.99,4.145336398052622,4.115332998044991,4.130334698048807,-0.030003400007631242
1.0,4.17806,4.126319911442992,4.1521899557214965,-0.05174008855700851
